time,geotop_surface_water,geotop_soilwater,geotop_unsat_soilwater,geotop_groundwt_soilwater
3600,0,17.8955963844549,17.6866385713971,0.208957813057812
7200,0,19.1271805207553,18.8386197312945,0.288560789460788
10800,0,19.126946011014,18.7587822451503,0.368163765863764
14400,0,19.1271777126671,18.6843861564256,0.442791556241554
18000,0,19.1278770418057,18.6104576951864,0.517419346619344
21600,0,19.1286085597043,18.531586236682,0.59702232302232
25200,0,19.1292113414678,18.4575612280677,0.67165011340011
28800,0,19.1297348366743,18.3486306307201,0.781104205954202
32400,0,19.1301528167313,18.2545200762985,0.875632740432736
36000,0,19.1302716345751,18.1252840574875,1.00498757708757
39600,0,19.1297260793536,17.9953836656112,1.13434241374241
43200,0,19.1287053290242,17.9048095668284,1.22389576219576
46800,0,19.1279405236695,17.7647395527685,1.36320097090096
